Frequency, Amplitude
1271,804810  0,000214
1273,150635  0,000210
1274,496460  0,000208
1275,842285  0,000210
1277,188110  0,000209
1278,533936  0,000208
1279,879761  0,000205
1281,225586  0,000206
1282,571411  0,000205
1283,917236  0,000205
1285,263062  0,000199
1286,608887  0,000202
1287,954712  0,000203
1289,300537  0,000200
1290,646362  0,000202
1291,992188  0,000200
1293,338013  0,000199
1294,683838  0,000198
1296,029663  0,000197
1297,375488  0,000197
1298,721313  0,000194
1300,067139  0,000193
1301,412964  0,000193
1302,758789  0,000193
1304,104614  0,000191
1305,450439  0,000193
1306,796265  0,000192
1308,142090  0,000189
1309,487915  0,000190
1310,833740  0,000187
1312,179565  0,000187
1313,525391  0,000188
1314,871216  0,000186
1316,217041  0,000185
1317,562866  0,000184
1318,908691  0,000184
1320,254517  0,000181
1321,600342  0,000183
1322,946167  0,000181
1324,291992  0,000181
1325,637817  0,000179
1326,983643  0,000180
1328,329468  0,000178
1329,675293  0,000176
1331,021118  0,000177
1332,366943  0,000176
1333,712769  0,000177
1335,058594  0,000176
1336,404419  0,000175
1337,750244  0,000173
1339,096069  0,000175
1340,441895  0,000172
1341,787720  0,000173
1343,133545  0,000171
1344,479370  0,000161
1345,825195  0,000170
1347,171021  0,000170
1348,516846  0,000170
1349,862671  0,000168
1351,208496  0,000170
1352,554321  0,000167
1353,900146  0,000166
1355,245972  0,000168
1356,591797  0,000166
1357,937622  0,000165
1359,283447  0,000164
1360,629272  0,000163
1361,975098  0,000162
1363,320923  0,000164
1364,666748  0,000163
1366,012573  0,000163
1367,358398  0,000162
1368,704224  0,000163
1370,050049  0,000160
1371,395874  0,000160
1372,741699  0,000162
1374,087524  0,000158
1375,433350  0,000157
1376,779175  0,000157
1378,125000  0,000157
1379,470825  0,000156
1380,816650  0,000156
1382,162476  0,000156
1383,508301  0,000157
1384,854126  0,000154
1386,199951  0,000154
1387,545776  0,000156
1388,891602  0,000153
1390,237427  0,000153
1391,583252  0,000152
1392,929077  0,000150
1394,274902  0,000151
1395,620728  0,000151
1396,966553  0,000150
1398,312378  0,000152
1399,658203  0,000151
1401,004028  0,000150
1402,349854  0,000147
1403,695679  0,000147
1405,041504  0,000149
1406,387329  0,000147
1407,733154  0,000146
1409,078979  0,000147
1410,424805  0,000146
1411,770630  0,000145
1413,116455  0,000146
1414,462280  0,000146
1415,808105  0,000145
1417,153931  0,000144
1418,499756  0,000143
1419,845581  0,000143
1421,191406  0,000145
1422,537231  0,000141
1423,883057  0,000143
1425,228882  0,000142
1426,574707  0,000142
1427,920532  0,000140
1429,266357  0,000141
1430,612183  0,000140
1431,958008  0,000140
1433,303833  0,000139
1434,649658  0,000140
1435,995483  0,000140
1437,341309  0,000138
1438,687134  0,000137
1440,032959  0,000138
1441,378784  0,000137
1442,724609  0,000138
1444,070435  0,000134
1445,416260  0,000137
1446,762085  0,000135
1448,107910  0,000135
1449,453735  0,000137
1450,799561  0,000132
1452,145386  0,000135
1453,491211  0,000135
1454,837036  0,000134
1456,182861  0,000134
1457,528687  0,000133
1458,874512  0,000133
1460,220337  0,000132
1461,566162  0,000131
1462,911987  0,000133
1464,257812  0,000133
1465,603638  0,000133
1466,949463  0,000132
1468,295288  0,000129
1469,641113  0,000131
1470,986938  0,000130
1472,332764  0,000130
1473,678589  0,000128
1475,024414  0,000130
1476,370239  0,000127
1477,716064  0,000127
1479,061890  0,000129
1480,407715  0,000128
1481,753540  0,000126
1483,099365  0,000127
1484,445190  0,000127
1485,791016  0,000125
1487,136841  0,000126
1488,482666  0,000126
1489,828491  0,000123
1491,174316  0,000125
1492,520142  0,000125
1493,865967  0,000126
1495,211792  0,000125
1496,557617  0,000123
1497,903442  0,000123
1499,249268  0,000124
1500,595093  0,000124
1501,940918  0,000125
1503,286743  0,000123
1504,632568  0,000123
1505,978394  0,000121
1507,324219  0,000122
1508,670044  0,000121
1510,015869  0,000121
1511,361694  0,000120
1512,707520  0,000120
1514,053345  0,000120
1515,399170  0,000119
1516,744995  0,000119
1518,090820  0,000120
1519,436646  0,000120
1520,782471  0,000118
1522,128296  0,000119
1523,474121  0,000118
1524,819946  0,000119
1526,165771  0,000117
1527,511597  0,000118
1528,857422  0,000118
1530,203247  0,000118
1531,549072  0,000118
1532,894897  0,000116
1534,240723  0,000117
1535,586548  0,000117
1536,932373  0,000116
1538,278198  0,000115
1539,624023  0,000117
1540,969849  0,000116
1542,315674  0,000115
1543,661499  0,000114
1545,007324  0,000114
1546,353149  0,000116
1547,698975  0,000113
1549,044800  0,000113
1550,390625  0,000114
1551,736450  0,000113
1553,082275  0,000114
1554,428101  0,000113
1555,773926  0,000113
1557,119751  0,000111
1558,465576  0,000112
1559,811401  0,000112
1561,157227  0,000110
1562,503052  0,000111
1563,848877  0,000112
1565,194702  0,000111
1566,540527  0,000110
1567,886353  0,000110
1569,232178  0,000111
1570,578003  0,000110
1571,923828  0,000108
1573,269653  0,000109
1574,615479  0,000111
1575,961304  0,000109
1577,307129  0,000109
1578,652954  0,000109
1579,998779  0,000107
1581,344604  0,000107
1582,690430  0,000107
1584,036255  0,000108
1585,382080  0,000107
1586,727905  0,000107
1588,073730  0,000108
1589,419556  0,000107
1590,765381  0,000108
1592,111206  0,000107
1593,457031  0,000106
1594,802856  0,000106
1596,148682  0,000106
1597,494507  0,000105
1598,840332  0,000105
1600,186157  0,000105
1601,531982  0,000106
1602,877808  0,000104
1604,223633  0,000104
1605,569458  0,000106
1606,915283  0,000104
1608,261108  0,000104
1609,606934  0,000104
1610,952759  0,000104
1612,298584  0,000103
1613,644409  0,000102
1614,990234  0,000103
1616,336060  0,000104
1617,681885  0,000102
1619,027710  0,000102
1620,373535  0,000103
1621,719360  0,000102
1623,065186  0,000102
